"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0449066839108331;1;9;1;0,111111111111111;1;"GO:0120003";"GO:CC";"hinge region between urothelial plaques of apical plasma membrane";21690;3854;"Up"
"2";"query_1";TRUE;0,0249661708385137;1;3;1;0,333333333333333;1;"GO:0043626";"GO:CC";"PCNA complex";21690;2178;"Down"
"3";"query_1";TRUE;0,0249661708385137;1;3;1;0,333333333333333;1;"GO:0044796";"GO:CC";"DNA polymerase processivity factor complex";21690;2408;"Down"
"4";"query_1";TRUE;0,0499300394804473;2;3;1;0,333333333333333;0,5;"GO:0070557";"GO:CC";"PCNA-p21 complex";21690;2838;"Down"
"5";"query_1";TRUE;0,0417689125464852;142;3;2;0,666666666666667;0,0140845070422535;"GO:0016922";"GO:MF";"nuclear receptor binding";20166;3877;"Down"
