"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"969","BRD-K61001510","44498600","HEPG2","trt_cp","up",0.228449387826641,0.0823824874017293,0.163304714416921,0.729131025300802,-0.741291045856845,49,57,NA,26.7125581028914
"970","pyrimethamine","4993","HEPG2","trt_cp","down",-0.253138021020841,0.0210093900237998,0.0459621143695434,-0.728877457567593,0,49,57,"DHFR; DHFRP1; HEXA; HEXB; PDF; SLC47A1; STAT3",-54.3055227290633
"971","BRD-K05071020",NA,"HEPG2","trt_cp","up",0.228257719746022,0.0823824874017293,0.163304714416921,0.728519287421052,0.730777359516726,49,57,NA,25.8557866540613
"972","BRD-K03707297",NA,"HEPG2","trt_cp","down",-0.252910142037586,0.0210093900237998,0.0459621143695434,-0.728221310169117,-0.676046469371856,49,57,NA,-34.3575198928543
"973","BRD-K28433302",NA,"HEPG2","trt_cp","down",-0.252488418891511,0.0223870759892107,0.0487398049837785,-0.727007014136979,0,49,57,NA,-35.9893248247065
"974","BRD-K36070105",NA,"HEPG2","trt_cp","down",-0.252051023562013,0.0223870759892107,0.0487398049837785,-0.725747592125104,1.00336352888263,49,57,NA,-35.1167966595761
"975","BRD-K81073239",NA,"HEPG2","trt_cp","up",0.227011478666814,0.0861386100696779,0.17016573325776,0.724541719153089,0.724541719153089,49,57,NA,36.0572756637517
"976","AZD-6482","44137675","HEPG2","trt_cp","up",0.226458094531322,0.0899925622582848,0.177230944744192,0.722775509377106,-0.658702469104368,49,57,"PIK3CA; PIK3CB; PIK3CD; PIK3CG",27.9031749783345
"977","BRD-K83493571","71576757","HEPG2","trt_cp","up",0.226444063996361,0.0899925622582848,0.177230944744192,0.722730728787239,0.498684202863195,49,57,NA,45.8746947136217
"978","BRD-K66497480",NA,"HEPG2","trt_cp","up",0.226333083817103,0.0899925622582848,0.177230944744192,0.722376518637411,0.498439797859814,49,57,NA,47.9526116757268
"979","BRD-K88809956",NA,"HEPG2","trt_cp","up",0.226053326520383,0.0899925622582848,0.177230944744192,0.721483630604163,0.0216445089181251,49,57,NA,31.3942724336248
"980","BRD-K06852269",NA,"HEPG2","trt_cp","up",0.225997045097951,0.0899925622582848,0.177230944744192,0.721303999870049,0,49,57,NA,28.6250295438431
"981","BRD-K72005960",NA,"HEPG2","trt_cp","up",0.225922246372757,0.0899925622582848,0.177230944744192,0.721065268343078,0.0216319580502925,49,57,NA,39.3671708815883
"982","BRD-A70731303",NA,"HEPG2","trt_cp","down",-0.250349370134299,0.0253670249846935,0.0547323626850331,-0.720847906099862,-1.22840670875518,49,57,NA,-29.0356889624202
"983","pifithrin-mu","327653","HEPG2","trt_cp","down",-0.249891351693317,0.0253670249846935,0.0547323626850331,-0.719529102565584,0,49,57,"HSPA1A; TP53",-25.5898920664933
"984","BRD-K82488679",NA,"HEPG2","trt_cp","down",-0.249853665748014,0.0253670249846935,0.0547323626850331,-0.719420590869523,0,49,57,NA,-35.8613015047664
"985","BRD-K72299443",NA,"HEPG2","trt_cp","up",0.225062747539591,0.0939448009114856,0.184477787390611,0.718322046873179,0,49,57,NA,32.7601827779091
