"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"902","CG-930","57394468","HEPG2","trt_cp","down",-0.21926704488057,0.119505026143938,0.250185930536865,-0.712261893082671,0.862708266434351,62,26,"MAPK8",-35.0636177420626
"903","BRD-K73575094",NA,"HEPG2","trt_cp","up",0.213395246726449,0.147753561344876,0.304274830826098,0.712168389412619,0.491396188694707,62,26,NA,29.7329236587095
"904","phenol",NA,"HEPG2","trt_cp","up",0.213365443037599,0.147753561344876,0.304274830826098,0.712068924942756,0.712068924942756,62,26,"AGO2; ALB; ARSD; ARSE; ARSF; ARSG; ARSJ; ARSK; BPNT1; CYP2E1; INS-IGF2; NDC80; NUF2; PON1; PON2; PON3; PTER; RAN; SNUPN; SULT1A1; SULT1A2; SULT1A3; UGT1A1; UGT1A6; XPO1",30.5335618057197
"905","SGX-523",NA,"HEPG2","trt_cp","up",0.213111034010953,0.147753561344876,0.304274830826098,0.711219880413706,0,62,26,"MET",25.1280233199401
"906","BRD-K31126514",NA,"HEPG2","trt_cp","down",-0.218800362975411,0.119505026143938,0.250185930536865,-0.71074593459736,-0.780648062567156,62,26,NA,-33.8887575829197
"907","silibinin",NA,"HEPG2","trt_cp","up",0.212005649216148,0.152643166083584,0.313701632398128,0.707530856777641,1.06582412761188,62,26,NA,39.1800598755219
"908","etodolac","73707528","HEPG2","trt_cp","up",0.21035239711124,0.162510391666666,0.314451408995329,0.702013424187616,0,62,26,"RXRA; TRPV1",28.9441030489246
"909","BRD-K73275626",NA,"HEPG2","trt_cp","up",0.209173023886627,0.167478438447628,0.314451408995329,0.698077477427913,0.0209423243228376,62,26,NA,34.1891199873946
"910","BRD-K83493571","71576757","HEPG2","trt_cp","down",-0.214880915421564,0.138118354484833,0.285858797623624,-0.698014093676799,-0.481629724636991,62,26,NA,-44.6161269991334
"911","BRD-K05978741","54652533","HEPG2","trt_cp","down",-0.214368410590213,0.14291145701622,0.294943315134649,-0.696349285079633,0,62,26,NA,-33.4524935003545
"912","hydroxyurea",NA,"HEPG2","trt_cp","up",0.208490574911875,0.172464501875189,0.314451408995329,0.695799926289068,0,62,26,"BRCA1; H2AFX; NBN; RAD17; RRM1; TP53",24.3441266839991
"913","ASN-05257430","650361","HEPG2","trt_cp","up",0.208387363680186,0.172464501875189,0.314451408995329,0.695455477301715,0.993280193396051,62,26,NA,27.6609154652171
"914","BRD-K88822846","44488910","HEPG2","trt_cp","up",0.208380150736658,0.172464501875189,0.314451408995329,0.695431405395455,0.0208629421618638,62,26,NA,34.7238635468368
"915","sodium-nitrite",NA,"HEPG2","trt_cp","up",0.20829345594041,0.172464501875189,0.314451408995329,0.695142077051165,0.695142077051165,62,26,NA,37.547270148901
"916","BRD-K53904461",NA,"HEPG2","trt_cp","down",-0.213599704639911,0.14291145701622,0.294943315134649,-0.693852238814954,-0.693852238814954,62,26,NA,-26.5106751752935
"917","BRD-K81954574",NA,"HEPG2","trt_cp","up",0.207323043061307,0.177460030569984,0.314451408995329,0.691903497992928,0.477413413615121,62,26,NA,24.6691089576932
"918","BRD-K02971764",NA,"HEPG2","trt_cp","up",0.206046633177283,0.182443918074043,0.314451408995329,0.687643708774187,0.460721284878705,62,26,NA,45.7673520838257
"919","BRD-K77793090","54631447","HEPG2","trt_cp","up",0.206009958176914,0.182443918074043,0.314451408995329,0.687521312533665,0.692950255378206,62,26,NA,37.3079650200898
"920","BRD-K02409808","54638332","HEPG2","trt_cp","down",-0.211397528591956,0.157560361532301,0.314451408995329,-0.68669874212022,-0.687222048220367,62,26,NA,-34.2157094461514
