"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"33";"query_1";TRUE;0,0482847481443014;6004;20;15;0,75;0,0024983344437042;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21100;8255;"Up"
"34";"query_1";TRUE;0,0498233859071119;9;17;2;0,117647058823529;0,222222222222222;"GO:2001280";"GO:BP";"positive regulation of unsaturated fatty acid biosynthetic process";21100;30444;"Up"
"35";"query_1";TRUE;0,0498233859071119;9;17;2;0,117647058823529;0,222222222222222;"GO:0031652";"GO:BP";"positive regulation of heat generation";21100;8416;"Up"
"36";"query_1";TRUE;0,0498233859071119;9;17;2;0,117647058823529;0,222222222222222;"GO:0031620";"GO:BP";"regulation of fever generation";21100;8391;"Up"
"37";"query_1";TRUE;0,000713565656096373;5420;55;30;0,545454545454545;0,00553505535055351;"GO:0005829";"GO:CC";"cytosol";21698;469;"Up"
"38";"query_1";TRUE;0,00311883920860972;12241;56;47;0,839285714285714;0,00383955559186341;"GO:0005737";"GO:CC";"cytoplasm";21698;384;"Up"
"39";"query_1";TRUE;0,016535223412872;14833;57;54;0,947368421052632;0,00364053124789321;"GO:0005515";"GO:MF";"protein binding";20183;1879;"Up"
"40";"query_1";TRUE;0,0374074925516223;158;30;4;0,133333333333333;0,0253164556962025;"GO:0005178";"GO:MF";"integrin binding";20183;1677;"Up"
"41";"query_1";TRUE;0,00599103122286724;1313;10;7;0,7;0,00533130236100533;"HPA:0600443";"HPA";"tonsil; non-germinal center cells[High]";10976;823;"Up"
"42";"query_1";TRUE;0,017920394950029;3119;10;9;0,9;0,00288554023725553;"HPA:0530712";"HPA";"spleen; cells in red pulp[≥Medium]";10976;752;"Up"
"43";"query_1";TRUE;0,00237036142522258;71;20;4;0,2;0,0563380281690141;"KEGG:05223";"KEGG";"Non-small cell lung cancer";7559;456;"Up"
"44";"query_1";TRUE;0,00443320840470417;99;17;4;0,235294117647059;0,0404040404040404;"KEGG:04933";"KEGG";"AGE-RAGE signaling pathway in diabetic complications";7559;372;"Up"
"45";"query_1";TRUE;0,00634163044057765;102;18;4;0,222222222222222;0,0392156862745098;"KEGG:04625";"KEGG";"C-type lectin receptor signaling pathway";7559;313;"Up"
"46";"query_1";TRUE;0,00634163044057765;102;18;4;0,222222222222222;0,0392156862745098;"KEGG:04064";"KEGG";"NF-kappa B signaling pathway";7559;240;"Up"
"47";"query_1";TRUE;0,00669616147923361;110;17;4;0,235294117647059;0,0363636363636364;"KEGG:04668";"KEGG";"TNF signaling pathway";7559;325;"Up"
"48";"query_1";TRUE;0,00853264478043022;191;20;5;0,25;0,0261780104712042;"KEGG:05169";"KEGG";"Epstein-Barr virus infection";7559;432;"Up"
"49";"query_1";TRUE;0,0144064246112416;134;17;4;0,235294117647059;0,0298507462686567;"KEGG:05418";"KEGG";"Fluid shear stress and atherosclerosis";7559;477;"Up"
"50";"query_1";TRUE;0,0149006354716515;215;20;5;0,25;0,0232558139534884;"KEGG:05163";"KEGG";"Human cytomegalovirus infection";7559;426;"Up"
"51";"query_1";TRUE;0,0187826065679679;69;3;2;0,666666666666667;0,0289855072463768;"KEGG:04920";"KEGG";"Adipocytokine signaling pathway";7559;359;"Up"
"52";"query_1";TRUE;0,0305961579270767;88;3;2;0,666666666666667;0,0227272727272727;"KEGG:05235";"KEGG";"PD-L1 expression and PD-1 checkpoint pathway in cancer";7559;462;"Up"
"53";"query_1";TRUE;0,0427481576920745;104;3;2;0,666666666666667;0,0192307692307692;"KEGG:04659";"KEGG";"Th17 cell differentiation";7559;320;"Up"
"54";"query_1";TRUE;0,0234092405326262;1736;10;7;0,7;0,00403225806451613;"MIRNA:hsa-miR-26b-5p";"MIRNA";"hsa-miR-26b-5p";13650;470;"Up"
"55";"query_1";TRUE;0,0383589220071459;513;13;5;0,384615384615385;0,00974658869395711;"MIRNA:hsa-miR-181a-5p";"MIRNA";"hsa-miR-181a-5p";13650;294;"Up"
"56";"query_1";TRUE;0,000421318685808768;460;21;8;0,380952380952381;0,0173913043478261;"REAC:R-HSA-449147";"REAC";"Signaling by Interleukins";10770;2110;"Up"
"57";"query_1";TRUE;0,00718546218779652;110;17;4;0,235294117647059;0,0363636363636364;"REAC:R-HSA-6785807";"REAC";"Interleukin-4 and Interleukin-13 signaling";10770;1183;"Up"
